proc_id,proc_name,proc_category
1079003277,"REMOVAL, DEPTH ELECTRODE LEAD, WITH STEREOTACTIC GUIDANCE",ElectrodeRemoval
1079002001,"REMOVAL, ELECTRODE LEAD, EEG, CRANIOTOMY APPROACH",ElectrodeRemoval
1079002002,"REMOVAL, ELECTRODE LEAD, EEG, INTRACEREBRAL",ElectrodeRemoval
1079002534,"VENTRICULOSTOMY, ENDOSCOPIC, USING COMPUTER-ASSISTED NAVIGATION",ETV
M-10540,"VENTRICULOSTOMY, ENDOSCOPIC, USING COMPUTER-ASSISTED NAVIGATION",ETV
1079002811,"VENTRICULOSTOMY, THIRD VENTRICLE, ENDOSCOPIC",ETV
1079000568,"CRANIOTOMY, FOR HEMATOMA EVACUATION",EvacSubduralHematoma
1079000433,"CREATION, CRANIAL BURR HOLE",EvacSubduralHematoma
1079000434,"CREATION, CRANIAL BURR HOLE, WITH HEMATOMA EVACUATION",EvacSubduralHematoma
1079002714,"CREATION, CRANIAL BURR HOLE, WITH SUBDURAL HEMATOMA EVACUATION",EvacSubduralHematoma
1079000466,"CREATION, SHUNT, VENTRICULOATRIAL",EVDShuntAndRevision
1079002860,"EXTERNALIZATION, SHUNT, VENTRICULOPERITONEAL",EVDShuntAndRevision
1079001524,"INSERTION, SHUNT, LUMBOPERITONEAL",EVDShuntAndRevision
1079001526,"INSERTION, SHUNT, PLEUROPERITONEAL",EVDShuntAndRevision
1079003360,"INSERTION, SHUNT, VENTRICULOATRIAL OR VENTRICULOPERITONEAL",EVDShuntAndRevision
1079001529,"INSERTION, SHUNT, VENTRICULOPERITONEAL",EVDShuntAndRevision
1079002858,"INSERTION, VENTRICULAR DRAIN, EXTERNAL",EVDShuntAndRevision
1079001856,"REMOVAL, SHUNT, VENTRICULOPERITONEAL",EVDShuntAndRevision
1079002132,"REVISION, PROCEDURE INVOLVING VENTRICULOPLEURAL SHUNT",EVDShuntAndRevision
1079003793,"REVISION, SHUNT, LUMBOPERITONEAL",EVDShuntAndRevision
1079002353,"REVISION, SHUNT, VENTRICULOATRIAL",EVDShuntAndRevision
1079002354,"REVISION, SHUNT, VENTRICULOPERITONEAL",EVDShuntAndRevision
1079002766,"INSERTION, REMOVAL, OR REPLACEMENT, PULSE GENERATOR, DEEP BRAIN STIMULATOR",IPGPlacementBatteryChange
1079000237,"ARTHROTOMY, HIP",MiscellaneousOther
1079000322,"BIOPSY, SKIN, LOWER EXTREMITY",MiscellaneousOther
1079000390,"BRONCHOSCOPY, RIGID",MiscellaneousOther
1079000497,"CLOSURE, SURGICAL WOUND, ABDOMEN",MiscellaneousOther
1079003744,"EXPLORATION AND EVACUATION, WOUND",MiscellaneousOther
1079001190,"EXPLORATION, WOUND, HEAD AND NECK REGION",MiscellaneousOther
1079003814,"INJECTION, THERAPEUTIC AGENT, CAUDAL, EPIDURAL",MiscellaneousOther
1079002767,"INSERTION, REMOVAL, OR REPLACEMENT, ELECTRODE LEAD, DEEP BRAIN STIMULATOR",MiscellaneousOther
1079003589,"INSERTION, VAGUS NERVE STIMULATOR",MiscellaneousOther
1079002039,"REMOVAL, HARDWARE, HEAD",MiscellaneousOther
1079003195,"REPAIR, DEFECT, CRANIUM",MiscellaneousOther
1079003236,"REPAIR, WOUND, SCALP",MiscellaneousOther
1079003870,"CREATION, LESION, SUBCORTICAL BRAIN STRUCTURES, STEREOTACTIC",MRIAblation
1079003433,"CRANIECTOMY, SUBOCCIPITAL, FOR DECOMPRESSION OF CRANIAL NERVE",MVD
1079002715,"CRANIECTOMY, SUBOCCIPITAL, WITH MICROVASCULAR DECOMPRESSION OF CRANIAL NERVE",MVD
1079003463,"EXCISION, NEOPLASM, PITUITARY, ENDOSCOPIC, TRANSSPHENOIDAL APPROACH",PituitaryTSA
1079001138,"EXCISION, NEOPLASM, PITUITARY, TRANSSPHENOIDAL APPROACH, USING COMPUTER-ASSISTED NAVIGATION",PituitaryTSA
1079002069,"RESECTION, NEOPLASM, PITUITARY, ENDOSCOPIC, TRANSSPHENOIDAL APPROACH",PituitaryTSA
1079001221,"INJECTION, THERAPEUTIC AGENT, SPINE, LUMBAR, EPIDURAL",PumpSCSPlacementRevision
1079001250,"INSERTION, CATHETER, INTRATHECAL, WITH PUMP",PumpSCSPlacementRevision
1079003402,"INSERTION, INTRATHECAL BACLOFEN PUMP",PumpSCSPlacementRevision
1079003332,"INSERTION, NEUROSTIMULATOR, PERCUTANEOUS, FOR TRIAL",PumpSCSPlacementRevision
1079003610,"INSERTION, NEUROSTIMULATOR, SACRAL",PumpSCSPlacementRevision
1079001506,"INSERTION, NEUROSTIMULATOR, SPINAL CORD",PumpSCSPlacementRevision
1079003730,"INSERTION, REMOVAL, OR REPLACEMENT, SPINAL CORD STIMULATOR, LUMBAR",PumpSCSPlacementRevision
1079002061,"REMOVAL, NEUROSTIMULATOR, SPINAL",PumpSCSPlacementRevision
1079003178,"REMOVAL, RESERVOIR, PORT, OR PUMP",PumpSCSPlacementRevision
1079003403,"REPLACEMENT, BACLOFEN PUMP, INTRATHECAL",PumpSCSPlacementRevision
1079003629,"REPLACEMENT, PULSE GENERATOR, VAGUS NERVE STIMULATOR",PumpSCSPlacementRevision
1079004308,"RHIZOTOMY, PERCUTANEOUS",Rhizotomy
1079000767,"DECOMPRESSION, SPINAL CORD",Spine
1079000768,"DECOMPRESSION, SPINE, WITH INSTRUMENTATION",Spine
1079003423,"DISCECTOMY, SPINE, CERVICAL, 1 LEVEL, ANTERIOR APPROACH, WITH FUSION USING BONE GRAFT",Spine
1079001046,"FUSION, SPINE, CERVICAL, POSTERIOR APPROACH",Spine
1079003154,"FUSION, SPINE, POSTERIOR APPROACH, WITH INSTRUMENTATION",Spine
1079002991,"LAMINECTOMY, SPINE",Spine
1079002681,"LAMINECTOMY, SPINE, CERVICAL, FOR NEOPLASM",Spine
1079001574,"LAMINECTOMY, SPINE, CERVICAL, OPEN",Spine
1079003561,"LAMINECTOMY, SPINE, LUMBAR",Spine
1079001581,"LAMINECTOMY, SPINE, LUMBAR, OPEN",Spine
1079001586,"LAMINECTOMY, SPINE, THORACIC, OPEN",Spine
1079003559,"LAMINOTOMY, SPINE, LUMBAR, WITH DISCECTOMY",Spine
1079003705,"LAMINOTOMY, SPINE, THORACOLUMBAR, USING METRX SYSTEM, WITH DISCECTOMY, FORAMINOTOMY, OR DECOMPRESSION IF INDICATED",Spine
VDB0001,Distal gastrectomy,Stomach
VDB0002,Lung lobectomy,Major resection
