"dx","opname","optype","approach","position","count","ml_base_category","ml_confidence_pct","Level1_magnitude","Level2_domain","Level3_approach","Level4_subtype","Level5_modifiers","Level6_secondary_variables"
"Mediastinal bronchogenic cyst, acquried","Excision","Others","Videoscopic","Left lateral decubitus","1","PituitaryTSA","65.0","Minor","Neuro / Spine","Laparoscopic","Other Procedure","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:1-3hr"
"Liver retransplantation, living donor","Closure of wound","Others","Open","Supine","1","Others","63.7","Minor","Soft Tissue / Access / Misc","Open","Other Procedure","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"Carcinoma in situ of rectum","Anterior resection","Colorectal","Open","Lithotomy","1","Colorectal","56.2","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Lithotomy","Est.Duration:1-3hr"
"Abnormal chest CT, lung nodule","Exploration","Others","Videoscopic","Right lateral decubitus","1","MiscellaneousOther","71.1","Minor","Soft Tissue / Access / Misc","Laparoscopic","Other Procedure","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Abnormal finding on lung imaging","Lung sgmentectomy","Minor resection","Videoscopic","Left lateral decubitus","1","Minor resection","65.7","Major","Thoracic","Laparoscopic","Thoracic Resection","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Metastatic cancer to the lung","Biopsy","Minor resection","Videoscopic","Right lateral decubitus","1","BiopsyBrain","64.2","Minor","Neuro / Spine","Laparoscopic","Access / Drainage Procedures","Malignancy | Primary | Lateral Decubitus","Est.Duration:<2hr"
"Mediastinal large B-cell lymphoma","Excision","Others","Videoscopic","Left lateral decubitus","1","Others","57.9","Minor","Soft Tissue / Access / Misc","Laparoscopic","Other Procedure","Malignancy | Primary | Lateral Decubitus","Est.Duration:1-3hr"
"Renal cell carcinoma right","Adrenalectomy","Major resection","Robotic","Supine","1","Others","64.9","Major","Abdominal / GI","Robotic","Other Procedure","Malignancy | Primary | Supine","Est.Duration:1-3hr"
"Intraductal papilloma of female breast right","Breast-conserving surgery","Breast","Open","Supine","1","Breast","56.9","Major","ENT / Head & Neck","Open","Breast Surgery","Benign/Non-malignant | Primary | Supine","Est.Duration:1-3hr"
"Mediastinal cyst","Excision","Others","Open","Left lateral decubitus","1","CraniTumorSkullBase","67.9","Minor","Neuro / Spine","Open","Craniotomy","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:1-3hr"
"Gallbladder polyp","Cholecystectomy","Biliary/Pancreas","Videoscopic","Reverse Trendelenburg","1","Biliary/Pancreas","71.6","Major","Abdominal / GI","Laparoscopic","Cystoscopy / TURBT","Benign/Non-malignant | Primary | Trendelenburg","Est.Duration:<2hr"
"Disorder of kidney and ureter","Nephrectomy","Major resection","Videoscopic","Right lateral decubitus","1","Major resection","62.0","Major","Urology","Laparoscopic","Other Procedure","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:2-4hr"
